ID WHO city,iso3,country,city,pm10,Year,type_of_stations,pm10_type,pm25,pm25_type,reference,latitude,longitude,population,wbinc16_text,region,date_compiled,population_source,tempcov_PM10,tempcov_PM25,latitude_pop,longitude_pop,Region,region_abbr,tempcov_PM10_grad,tempcov_PM25_grad,conc_pm25,color_pm25,conc_pm10,color_pm10
NA,DEU,Germany,Herdorf,9.59148301,2016,1 Rural-Background,Measured,6.709447094,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],50.766751,7.9735,6831,High income,Eur_HI,2018,1 old database,0.983834244,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,<10,green,<20,green
NA,DEU,Germany,Hurth,15.82380082,2016,1 Suburban-Industrial,Measured,11.06908643,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],50.876121,6.873789,55082,High income,Eur_HI,2018,1 manual,0.986566485,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,<20,green
NA,DEU,Germany,Ingolstadt,16.80351366,2016,1 Urban-Traffic,Measured,12.17578683,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],48.769444,11.428766,121589,High income,Eur_HI,2018,1 old database,0.999544627,0.999772313,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Itzehoe,15.93496074,2016,1 Suburban-Background,Measured,12.47531405,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],53.924712,9.532635,30885,High income,Eur_HI,2018,1 manual,0.991917122,0.962773224,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Jena,16.38260782,2016,1 Urban-Background,Measured,11.45998385,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],50.933513,11.597062,105739,High income,Eur_HI,2018,1 manual,0.987818761,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,<20,green
NA,DEU,Germany,Jork,14.38261699,2016,1 Rural-Background,Measured,10.06094758,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],53.52418,9.68503,11571,High income,Eur_HI,2018,1 manual,0.9965847,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,<20,green
NA,DEU,Germany,Juchen,21.31418351,2016,"1 N.A., 1 Rural-Near_city-Industrial",Measured,14.90972631,Converted,The European Environmental Agency (EEA) [downloaded 2018/04/14],51.097638,6.469463,22162,High income,Eur_HI,2018,2 manual,0.98912796,NA,NA,NA,Europe (HIC),Eur (HIC),>75%,NA,10-<15,yellow,20-<30,yellow
NA,DEU,Germany,Kaiserslautern,15.5526656,2016,1 Urban-Background,Measured,12.23241093,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],49.446,7.7673,97883,High income,Eur_HI,2018,1 old database,0.994990893,0.99692623,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Karlsruhe,16.97570257,2016,"3 Urban-Background, 1 Urban-Traffic",Measured,11.83567284,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],49.0234355,8.3635185,304686,High income,Eur_HI,2018,4 UN 2015,0.997002125,0.99453552,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Kassel,20.73196133,2016,"2 Urban-Background, 1 Urban-Traffic",Measured,11.19511683,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],51.313524,9.485971333,192306,High income,Eur_HI,2018,3 old database,0.993681694,1,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,20-<30,yellow
NA,DEU,Germany,Kehl,17.40051937,2016,3 Suburban-Industrial,Measured,11.41183101,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],48.578178,7.802317,33551,High income,Eur_HI,2018,3 old database,0.991006375,0.99726776,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Kelheim,17.29572062,2016,1 Urban-Traffic,Measured,12.50128792,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],48.909518,11.879245,15340,High income,Eur_HI,2018,1 manual,0.999203097,0.99795082,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
NA,DEU,Germany,Kempten (Allgau),14.1970921,2016,1 Suburban-Background,Converted,9.93116896,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],47.72514,10.306561,82800,High income,Eur_HI,2018,1 manual,NA,0.999203097,NA,NA,Europe (HIC),Eur (HIC),NA,>75%,<10,green,<20,green
NA,DEU,Germany,Kiel,18.74416924,2016,"1 N.A., 1 Urban-Traffic",Measured,12.32442964,Measured,The European Environmental Agency (EEA) [downloaded 2018/04/14],54.307175,10.1258605,235782,High income,Eur_HI,2018,2 manual,0.996641621,0.999203097,NA,NA,Europe (HIC),Eur (HIC),>75%,>75%,10-<15,yellow,<20,green
