Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Guinea,GIN,CO2 emissions (kt),EN.ATM.CO2E.KT,410.704,616.056,660.06,696.73,700.397,696.73,718.732,726.066,748.068,748.068,792.072,814.074,832.409,803.073,839.743,843.41,887.414,902.082,902.082,946.086,964.421,990.09,982.756,953.42,979.089,993.757,997.424,993.757,1026.76,1045.095,1000,1020,1050,1080,1120,1160,1230,1290,1360,1430,1490,1570,1630,1700,1770,1840,1900,1980,2010,2120,2500,2620,2490,2180,2240,2540,2830,2970,3120,,
"Gambia, The",GMB,CO2 emissions (kt),EN.ATM.CO2E.KT,18.335,22.002,25.669,29.336,29.336,29.336,33.003,33.003,36.67,47.671,47.671,55.005,66.006,62.339,62.339,99.009,99.009,113.677,139.346,146.68,157.681,157.681,161.348,161.348,172.349,172.349,161.348,179.683,183.35,179.683,190,200,200,210,210,220,220,230,250,260,240,310,300,300,320,340,360,400,430,480,440,450,460,440,520,530,530,540,570,,
Guinea-Bissau,GNB,CO2 emissions (kt),EN.ATM.CO2E.KT,18.335,29.336,40.337,47.671,58.672,66.006,66.006,47.671,62.339,58.672,69.673,73.34,66.006,110.01,102.676,113.677,95.342,102.676,102.676,110.01,146.68,143.013,143.013,143.013,161.348,172.349,183.35,194.351,216.353,231.021,170,170,180,190,180,180,180,200,170,190,150,150,150,200,210,210,220,230,220,230,240,250,250,260,280,280,300,300,310,,
Equatorial Guinea,GNQ,CO2 emissions (kt),EN.ATM.CO2E.KT,22.002,22.002,22.002,25.669,25.669,29.336,25.669,25.669,29.336,44.004,36.67,66.006,88.008,29.336,51.338,62.339,62.339,62.339,69.673,62.339,58.672,69.673,73.34,62.339,80.674,66.006,80.674,99.009,106.343,117.344,60,70,70,990,990,1000,1510,1630,1610,1820,2350,2730,4030,5160,7250,8090,9160,7550,8980,9660,9520,9710,10010,9350,8090,7140,5600,5630,6670,,
Kenya,KEN,CO2 emissions (kt),EN.ATM.CO2E.KT,2427.554,2401.885,2625.572,2856.593,2827.257,2467.891,2684.244,2702.579,2819.923,3131.618,3083.947,3685.335,3872.352,3920.023,4950.45,4976.119,4609.419,5056.793,5324.484,5038.458,6197.23,6527.26,4693.76,4660.757,4319.726,3769.676,4162.045,5174.137,4789.102,5192.472,6140,5890,5950,5860,5870,6370,6970,6640,7160,7490,8230,7610,7420,6530,7430,8330,9300,9370,9910,11710,12640,13030,12130,14100,15030,17090,18770,18890,18400,,
Liberia,LBR,CO2 emissions (kt),EN.ATM.CO2E.KT,165.015,161.348,253.023,355.699,484.044,557.384,612.389,612.389,883.747,1272.449,1452.132,1525.472,1507.137,1481.468,1723.49,1485.135,1477.801,1474.134,1507.137,1947.177,2042.519,1939.843,601.388,711.398,700.397,722.399,729.733,766.403,817.741,667.394,450,370,400,420,420,420,430,450,490,400,430,450,450,480,560,670,690,640,540,540,730,850,950,910,1220,1260,1410,1260,1320,,
Libya,LBY,CO2 emissions (kt),EN.ATM.CO2E.KT,693.063,1195.442,1048.762,1463.133,663.727,1015.759,2629.239,18507.349,30139.073,35551.565,32331.939,21646.301,15232.718,14587.326,9347.183,11580.386,17916.962,20106.161,21239.264,26032.033,26904.779,28811.619,30762.463,30414.098,28624.602,31418.856,34059.096,32566.627,36398.642,37322.726,36090,33320,30300,30840,35910,37490,39400,38940,39900,38060,39870,41430,43600,44280,45490,49130,49370,46290,51470,53810,57230,38050,52300,54990,59700,53840,51180,56810,58940,,
Lesotho,LSO,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1390,1450,1500,1540,1580,1610,1640,1670,1710,1720,1750,1770,1800,1820,1870,1900,1920,1960,2010,2100,2160,2210,2280,2290,2310,2230,2270,2440,2570,,
Morocco,MAR,CO2 emissions (kt),EN.ATM.CO2E.KT,3641.331,3777.01,3080.28,3960.36,4422.402,4261.054,5467.497,5416.159,5628.845,5826.863,7293.663,8203.079,8049.065,9640.543,11136.679,11111.01,11547.383,12702.488,13076.522,15958.784,15944.116,15856.108,17058.884,17795.951,17814.286,17865.624,18881.383,20117.162,21176.925,22918.75,21730,23450,25260,25980,28130,29200,28890,30330,31050,32600,33290,36920,38270,38210,42170,44490,46190,47730,50180,50540,53660,57790,60150,59720,61160,63150,63080,65930,66680,,
Madagascar,MDG,CO2 emissions (kt),EN.ATM.CO2E.KT,399.703,355.699,396.036,462.042,484.044,557.384,579.386,843.41,913.083,850.744,971.755,1026.76,1287.117,1074.431,1188.108,1694.154,993.757,847.077,1019.426,1133.103,1617.147,1026.76,1015.759,652.726,869.079,1056.096,1140.437,1287.117,1290.784,931.418,890,950,960,1000,1210,1370,1310,1420,1630,1670,1650,1670,1120,1550,1650,1710,1640,1720,1780,1690,1870,2190,2740,2930,3050,3320,3220,3500,3370,,
